date,ndays,fit_y,fit_lower,fit_upper
2021-12-01,0,0.0005990325809544302,0.0004220244922588853,0.000776040669649975
2021-12-02,1,0.0009259706346348489,0.0006400025228290452,0.0012227263723249148
2021-12-03,2,0.0014310883663076262,0.0009704581286513242,0.0019260268759829988
2021-12-04,3,0.00221113840352377,0.0014712882792952246,0.0030326307991221215
2021-12-05,4,0.003414919911882283,0.002230007909444493,0.004771997081903745
2021-12-06,5,0.005270598841390101,0.003378663131087194,0.007501471068643239
2021-12-07,6,0.008126437288872598,0.005115945730457282,0.011773673045846625
2021-12-08,7,0.01251023143075254,0.007739588490008628,0.01843376918892575
2021-12-09,8,0.019213048735756043,0.011692916822649821,0.02875171702365413
2021-12-10,9,0.029400225212705463,0.01762970004464186,0.04458262551997301
2021-12-11,10,0.044742455342593204,0.02649991256100986,0.06851524903895369
2021-12-12,11,0.06753381650411239,0.039652940983530185,0.1038981575402438
2021-12-13,12,0.10071088352035558,0.058939121613529384,0.15452243662778492
2021-12-14,13,0.14760666836788577,0.0867581881402381,0.223656836786694
2021-12-15,14,0.2112106597241509,0.12595039005312575,0.31229726552209874
2021-12-16,15,0.2928070783373049,0.1793699192345239,0.41718973137374754
2021-12-17,16,0.39032749340717143,0.24899204167711264,0.530153364148065
2021-12-18,17,0.49747949525492313,0.3346187295111119,0.6401097625178316
2021-12-19,18,0.6048635187489704,0.43272504449313604,0.7370944423076407
2021-12-20,19,0.7030001219538639,0.5364067713861906,0.8154773966303214
2021-12-21,20,0.7854104068927612,0.6370335994495864,0.8744709992041904
2021-12-22,21,0.8498382229174776,0.7269373401875401,0.9165342368873662
2021-12-23,22,0.8974481202324218,0.8015111336787217,0.945382924149729
2021-12-24,23,0.931185256055224,0.8596508069037906,0.9646451270442843
2021-12-25,24,0.9543877598468624,0.9028253786965784,0.9772772694286824
2021-12-26,25,0.9700188793180371,0.9337421534745667,0.985464013657336
2021-12-27,26,0.9804032721300107,0.9553094520874147,0.990729147066745
2021-12-28,27,0.9872382011231009,0.9700814155194651,0.9940985976127048
2021-12-29,28,0.991709408598869,0.9800725226490784,0.9962480738901699
2021-12-30,29,0.9946226222592301,0.9867726613478912,0.9976165204523184
2021-12-31,30,0.9965157643517493,0.9912401733480328,0.9984866093121718
2022-01-01,31,0.9977439247941949,0.9942076476834922,0.9990393782084045
2022-01-02,32,0.9985398045310107,0.996173742326896,0.9993903704594165
2022-01-03,33,0.9990551862009434,0.9974741820805321,0.9996131667238477
