,date,growth_rate,doubling_time,transmission_increase
estimate,2021-12-18,0.5221718058644444,1.327431264528836,2.8719449322544444
lower,2021-12-20,0.4973215706140036,1.3937605394919252,2.7352686383770197
upper,2021-12-17,0.5470220411148853,1.2671284307799415,3.008621226131869
